customerID,Contract,tenure,MonthlyCharges,TechSupport,OnlineSecurity,churn_probability,risk_segment
7216-EWTRS,Month-to-month,1,100.8,No,No,0.8505512769409365,High risk
5178-LMXOP,Month-to-month,1,95.1,No,No,0.8451959363571401,High risk
9300-AGZNL,Month-to-month,1,94.0,No,No,0.8432645388444973,High risk
7024-OHCCK,Month-to-month,2,93.85,No,No,0.8422330538248526,High risk
9497-QCMMS,Month-to-month,1,93.55,No,No,0.8418715732898278,High risk
8098-LLAZX,Month-to-month,4,95.45,No,No,0.8407505220856588,High risk
5150-ITWWB,Month-to-month,3,94.85,No,No,0.840069650855679,High risk
4424-TKOPW,Month-to-month,2,93.85,No,No,0.8392411247554956,High risk
2720-WGKHP,Month-to-month,2,94.0,No,No,0.8391614945053366,High risk
1374-DMZUI,Month-to-month,4,94.3,No,No,0.838203981388501,High risk
5567-WSELE,Month-to-month,3,94.6,No,No,0.8357407297724612,High risk
8884-ADFVN,Month-to-month,7,101.95,No,No,0.8280263791116035,High risk
3097-NQYSN,Month-to-month,2,86.85,No,No,0.8260220752785242,High risk
4822-RVYBB,Month-to-month,8,100.6,No,No,0.8218789088468098,High risk
5192-EBGOV,Month-to-month,1,85.7,No,No,0.8212505725057172,High risk
5419-JPRRN,Month-to-month,1,101.45,No,No,0.8205180783755567,High risk
4910-GMJOT,Month-to-month,1,94.6,No,No,0.8190808395814226,High risk
3158-MOERK,Month-to-month,2,96.0,No,No,0.8190151558989953,High risk
9057-SIHCH,Month-to-month,3,96.6,No,No,0.8176822399126489,High risk
0295-PPHDO,Month-to-month,1,95.45,No,No,0.8176718354926779,High risk
6861-XWTWQ,Month-to-month,7,99.25,No,No,0.8175589303382074,High risk
0781-LKXBR,Month-to-month,9,100.5,No,No,0.8174549289832987,High risk
7851-WZEKY,Month-to-month,2,95.15,No,No,0.8169815611369844,High risk
5277-ZLOOR,Month-to-month,2,85.55,No,No,0.8167445607703275,High risk
4826-XTSOH,Month-to-month,1,86.05,No,No,0.8164850666652582,High risk
8149-RSOUN,Month-to-month,1,93.85,No,No,0.8164727287930043,High risk
1069-XAIEM,Month-to-month,1,85.05,No,No,0.8132692292048375,High risk
1400-MMYXY,Month-to-month,3,105.9,No,No,0.8124500514201637,High risk
5380-AFSSK,Month-to-month,5,93.9,No,No,0.8121731272230066,High risk
6023-YEBUP,Month-to-month,3,100.95,No,No,0.8117130954416566,High risk
3049-SOLAY,Month-to-month,3,95.2,No,No,0.8111808414644631,High risk
3988-RQIXO,Month-to-month,1,91.3,No,No,0.8100005800026908,High risk
3068-OMWZA,Month-to-month,1,88.8,No,No,0.809545715277905,High risk
6496-SLWHQ,Month-to-month,3,105.0,No,No,0.8092915311515396,High risk
2012-NWRPA,Month-to-month,11,99.55,No,No,0.8091027433404611,High risk
2660-EMUBI,Month-to-month,10,95.35,No,No,0.808677857557627,High risk
2545-EBUPK,Month-to-month,2,84.05,No,No,0.805524507782097,High risk
9681-OXGVC,Month-to-month,5,100.5,No,No,0.8054959654183472,High risk
3793-MMFUH,Month-to-month,13,95.05,No,No,0.8031778045361063,High risk
1415-YFWLT,Month-to-month,1,89.3,No,No,0.8027135669702161,High risk
4695-WJZUE,Month-to-month,2,88.55,No,No,0.8025566177737065,High risk
2865-TCHJW,Month-to-month,4,89.2,No,No,0.8008974182704149,High risk
7450-NWRTR,Month-to-month,12,99.45,No,No,0.8002386423961497,High risk
4750-ZRXIU,Month-to-month,4,84.6,No,No,0.7977149224105005,High risk
3643-AHCFP,Month-to-month,7,95.6,No,No,0.7968909831946892,High risk
3389-YGYAI,Month-to-month,8,105.5,No,No,0.7955425312689924,High risk
9061-TIHDA,Month-to-month,13,95.25,No,No,0.7950152518731243,High risk
6630-UJZMY,Month-to-month,4,83.25,No,No,0.7948190931483902,High risk
8245-UMPYT,Month-to-month,16,96.4,No,No,0.794590525744045,High risk
1273-MTETI,Month-to-month,4,88.85,No,No,0.7945581469860267,High risk
2446-BEGGB,Month-to-month,6,98.25,No,No,0.7938840510617241,High risk
9124-LHCJQ,Month-to-month,1,85.45,No,No,0.7935979636297795,High risk
7503-ZGUZJ,Month-to-month,1,84.65,No,No,0.7920038872968752,High risk
5565-FILXA,Month-to-month,16,96.15,No,No,0.7913464592716841,High risk
3320-VEOYC,Month-to-month,14,95.6,No,No,0.7909782773509826,High risk
